category,item_id,label,popularity,price,rating,user_id
analytics,analytics_01,0,0.329,13.7,3.09,policy_001
analytics,analytics_02,1,0.864,62.08,4.09,policy_001
analytics,analytics_03,0,0.174,17.91,3.45,policy_001
analytics,analytics_04,0,0.171,26.87,3.66,policy_001
automation,automation_01,0,0.586,42.26,4.02,policy_001
automation,automation_02,1,0.798,44.89,3.87,policy_001
automation,automation_03,1,0.709,18.79,4.41,policy_001
automation,automation_04,0,0.916,59.51,2.79,policy_001
forecasting,forecasting_01,0,0.227,70.44,2.63,policy_001
forecasting,forecasting_02,1,0.796,139.41,3.91,policy_001
forecasting,forecasting_03,1,0.928,123.51,3.74,policy_001
forecasting,forecasting_04,1,0.814,76.1,3.78,policy_001
research,research_01,1,0.612,39.02,4.55,policy_001
research,research_02,0,0.332,43.75,2.51,policy_001
research,research_03,0,0.336,20.92,2.6,policy_001
research,research_04,1,0.659,10.56,3.09,policy_001
analytics,analytics_01,0,0.364,37.17,2.92,policy_002
analytics,analytics_02,0,0.637,75.69,4.02,policy_002
analytics,analytics_03,0,0.281,23.64,4.22,policy_002
analytics,analytics_04,1,0.662,37.8,4.87,policy_002
automation,automation_01,1,0.824,85.95,4.11,policy_002
automation,automation_02,0,0.176,112.67,2.97,policy_002
automation,automation_03,0,0.319,56.49,3.07,policy_002
automation,automation_04,0,0.402,133.03,4.59,policy_002
forecasting,forecasting_01,1,0.882,113.48,3.39,policy_002
forecasting,forecasting_02,0,0.347,86.95,3.06,policy_002
forecasting,forecasting_03,0,0.618,100.78,3.06,policy_002
forecasting,forecasting_04,0,0.325,146.21,3.4,policy_002
research,research_01,0,0.223,59.86,3.67,policy_002
research,research_02,1,0.652,7.59,2.67,policy_002
research,research_03,0,0.201,48.56,3.46,policy_002
research,research_04,1,0.573,25.99,4.89,policy_002
analytics,analytics_01,0,0.727,70.53,2.43,policy_003
analytics,analytics_02,0,0.363,58.36,3.74,policy_003
analytics,analytics_03,0,0.498,55.59,2.68,policy_003
analytics,analytics_04,1,0.851,42.85,4.78,policy_003
automation,automation_01,0,0.293,50.13,3.65,policy_003
automation,automation_02,0,0.389,129.34,4.58,policy_003
automation,automation_03,0,0.272,95.95,3.92,policy_003
automation,automation_04,0,0.773,111.03,3.75,policy_003
forecasting,forecasting_01,0,0.409,96.6,2.4,policy_003
